,날짜,위치,남중고도,9시고도,12시고도,15시고도,18시고도,9시방위각,12시방위각,15시방위각,18시방위각
0,20160531,대구,76˚ 6´,43˚ 56´,75˚ 12´,53˚ 18´,17˚ 12´,93˚ 14´,158˚ 24´,258˚ 37´,285˚ 4´
0,20160601,대구,76˚ 14´,43˚ 58´,75˚ 19´,53˚ 24´,17˚ 18´,93˚ 2´,158˚ 6´,258˚ 47´,285˚ 10´
0,20160602,대구,76˚ 22´,44˚ 0´,75˚ 26´,53˚ 30´,17˚ 24´,92˚ 51´,157˚ 47´,258˚ 56´,285˚ 16´
0,20160603,대구,76˚ 29´,44˚ 2´,75˚ 32´,53˚ 36´,17˚ 30´,92˚ 41´,157˚ 29´,259˚ 5´,285˚ 21´
0,20160604,대구,76˚ 36´,44˚ 3´,75˚ 38´,53˚ 42´,17˚ 36´,92˚ 30´,157˚ 10´,259˚ 13´,285˚ 26´
0,20160605,대구,76˚ 43´,44˚ 4´,75˚ 43´,53˚ 47´,17˚ 41´,92˚ 21´,156˚ 52´,259˚ 21´,285˚ 30´
0,20160606,대구,76˚ 49´,44˚ 5´,75˚ 48´,53˚ 52´,17˚ 47´,92˚ 11´,156˚ 33´,259˚ 27´,285˚ 34´
0,20160607,대구,76˚ 55´,44˚ 6´,75˚ 53´,53˚ 58´,17˚ 52´,92˚ 2´,156˚ 15´,259˚ 34´,285˚ 38´
0,20160608,대구,77˚ 0´,44˚ 6´,75˚ 57´,54˚ 3´,17˚ 57´,91˚ 54´,155˚ 57´,259˚ 39´,285˚ 41´
0,20160609,대구,77˚ 5´,44˚ 6´,76˚ 1´,54˚ 7´,18˚ 2´,91˚ 46´,155˚ 39´,259˚ 45´,285˚ 44´
0,20160610,대구,77˚ 10´,44˚ 6´,76˚ 4´,54˚ 12´,18˚ 7´,91˚ 38´,155˚ 21´,259˚ 49´,285˚ 46´
0,20160611,대구,77˚ 14´,44˚ 6´,76˚ 7´,54˚ 17´,18˚ 12´,91˚ 31´,155˚ 4´,259˚ 53´,285˚ 49´
0,20160612,대구,77˚ 18´,44˚ 5´,76˚ 9´,54˚ 21´,18˚ 16´,91˚ 24´,154˚ 47´,259˚ 56´,285˚ 50´
0,20160613,대구,77˚ 22´,44˚ 4´,76˚ 11´,54˚ 25´,18˚ 20´,91˚ 18´,154˚ 31´,259˚ 59´,285˚ 52´
0,20160614,대구,77˚ 25´,44˚ 3´,76˚ 13´,54˚ 29´,18˚ 24´,91˚ 13´,154˚ 15´,260˚ 1´,285˚ 53´
0,20160615,대구,77˚ 27´,44˚ 2´,76˚ 14´,54˚ 33´,18˚ 28´,91˚ 7´,153˚ 59´,260˚ 2´,285˚ 53´
